6.11,17.59
5.53,9.13
8.52,13.66
7.00,11.85
5.86,6.82
8.38,11.89
7.48,4.35
8.58,12.00
6.49,6.60
5.05,3.82
5.71,3.25
14.16,15.51
5.73,3.16
8.41,7.23
5.64,0.72
5.38,3.51
6.37,5.30
5.13,0.56
6.43,3.65
7.07,5.39
6.19,3.14
20.27,21.77
5.49,4.26
6.33,5.19
5.56,3.08
18.95,22.64
12.83,13.50
10.96,7.05
13.18,14.69
22.20,24.15
5.25,-1.22
6.59,6.00
9.25,12.13
5.89,1.85
8.21,6.54
7.93,4.56
8.10,4.12
5.61,3.39
12.84,10.12
6.35,5.50
5.41,0.56
6.88,3.91
11.71,5.39
5.77,2.44
7.82,6.73
7.09,1.05
5.07,5.13
5.80,1.84
11.70,8.00
5.54,1.02
7.54,6.75
5.31,1.84
7.42,4.29
7.60,5.00
6.33,1.42
6.36,-1.42
6.27,2.48
5.64,4.60
9.31,3.96
9.45,5.41
8.83,5.17
5.18,-0.74
21.28,17.93
14.91,12.05
18.96,17.05
7.22,4.89
8.30,5.74
10.24,7.78
5.50,1.02
20.34,20.99
10.14,6.68
7.33,4.03
6.01,1.28
7.23,3.34
5.03,-2.68
6.55,0.30
7.54,3.88
5.04,5.70
10.27,6.75
5.11,2.06
5.73,0.48
5.19,0.20
6.36,0.68
9.77,7.54
6.52,5.34
8.52,4.24
9.18,6.80
6.00,0.93
5.52,0.15
5.06,2.82
5.71,1.85
7.64,4.30
5.87,7.20
5.31,1.99
8.29,0.14
13.39,9.06
5.44,0.62
